"Acceptor concentration [cm-3]","Jn [A cm-2]:0","Jn [A cm-2]:1","Jn [A cm-2]:2","ArsenicActiveConcentration","BoronActiveConcentration","Conduction band level [eV]","Donor concentration [cm-3]","Dopant concentration [cm-3]","DopingConcentration","Electron Mobility [cm2 s-1 V-1]","Electron density [cm-3]","Electron quasi fermi band level [eV]","Electron quasi fermi potential [V]","Electrostatic potential [V]","G Impact ionization [cm-3 s-1]","GR Auger [cm-3 s-1]","GR Srh [cm-3 s-1]","Hole Mobility [cm2 s-1 V-1]","Hole density [cm-3]","Hole quasi fermi band level [eV]","Hole quasi fermi potential [V]","Middle band level [eV]","PhosphorusActiveConcentration","Space Charge [cm-3]","Valence band level [eV]","Jp [A cm-2]:0","Jp [A cm-2]:1","Jp [A cm-2]:2","Electron Avalanche field [V cm-1]","Hole Avalanche field [V cm-1]","Stabi X","Stabi Y","Stabi Z","Electric field [V cm-1]:0","Electric field [V cm-1]:1","Electric field [V cm-1]:2","Electron velocity [cm s-1]:0","Electron velocity [cm s-1]:1","Electron velocity [cm s-1]:2","Grad Electron quasi fermi potential [V cm]:0","Grad Electron quasi fermi potential [V cm]:1","Grad Electron quasi fermi potential [V cm]:2","Grad Hole quasi fermi potential [V cm]:0","Grad Hole quasi fermi potential [V cm]:1","Grad Hole quasi fermi potential [V cm]:2","Hole velocity [cm s-1]:0","Hole velocity [cm s-1]:1","Hole velocity [cm s-1]:2","Jn element [A cm-2]:0","Jn element [A cm-2]:1","Jn element [A cm-2]:2","Jp element [A cm-2]:0","Jp element [A cm-2]:1","Jp element [A cm-2]:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0000000000e+17,-1.7692331237e+00,3.0950916852e+01,-3.3354672674e+04,9.1007689730e+17,1.0000000000e+17,1.3751824842e-01,9.1007689730e+17,8.1007689730e+17,8.1007689730e+17,1.4169997992e+03,8.1007689730e+17,4.4150000000e-02,0.0000000000e+00,4.6893175158e-01,0.0000000000e+00,0.0000000000e+00,-1.0084812368e-08,4.7049997786e+02,1.4265621016e+02,4.4150000000e-02,0.0000000000e+00,-4.2478175158e-01,0.0000000000e+00,0.0000000000e+00,-9.8708175158e-01,-1.1937796981e-14,-5.6730603284e-13,-1.3374012396e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0.0000000000e+00,5.0000000745e-02,5.0000000745e-02,0.0000000000e+00
1.0000000000e+17,-6.0285020679e+00,3.9996882520e+01,-3.3311663963e+04,9.0636834887e+17,1.0000000000e+17,1.3780215449e-01,9.0636834887e+17,8.0636834887e+17,8.0636834887e+17,1.4169997992e+03,7.9973295839e+17,4.4094195226e-02,5.5804773646e-05,4.6864784551e-01,0.0000000000e+00,0.0000000000e+00,-4.8442717292e+19,4.7049997786e+02,1.4573199299e+14,-1.2769867529e-01,1.7184867529e-01,-4.2449784551e-01,0.0000000000e+00,0.0000000000e+00,-9.8679784551e-01,7.7635069920e-02,-2.8008473684e-01,-1.0299328770e+02,0.0000000000e+00,0.0000000000e+00,-5.9843820010e-04,-2.2659298795e-02,2.2946771381e+01,-1.3960523280e+03,3.3227004749e+02,9.9367245377e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.6605338671e-02,8.0480437648e-02,1.9531670982e+02,1.0944201696e+00,-9.9781626746e+00,6.0147036997e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-6.1986225365e+00,-1.3628281356e+01,-3.3074261930e+04,-4.7071374088e-14,4.2916408251e-13,-2.5869439886e-08,1,2.8571428265e-03,5.0000000745e-02,5.0000000745e-02,2.8571428265e-03
1.0000000000e+17,-1.0287774192e+01,4.9042847314e+01,-3.3268655128e+04,9.0265978847e+17,1.0000000000e+17,1.3808606090e-01,9.0265978847e+17,8.0265978847e+17,8.0265978847e+17,1.4169997992e+03,7.8938900915e+17,4.4038390453e-02,1.1160954728e-04,4.6836393910e-01,0.0000000000e+00,0.0000000000e+00,-9.6885435250e+19,4.7049997786e+02,2.9146398799e+14,-2.9954735059e-01,3.4369735059e-01,-4.2421393910e-01,0.0000000000e+00,0.0000000000e+00,-9.8651393910e-01,1.5527014109e-01,-5.6016950647e-01,-2.0598657275e+02,0.0000000000e+00,0.0000000000e+00,-5.9843820010e-04,-2.2659298795e-02,2.2946771381e+01,-1.3960523280e+03,3.3227004749e+02,9.9367245377e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.6605338671e-02,8.0480437648e-02,1.9531670982e+02,1.0944201696e+00,-9.9781626746e+00,6.0147036997e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-6.1986225365e+00,-1.3628281356e+01,-3.3074261930e+04,-4.7071374088e-14,4.2916408251e-13,-2.5869439886e-08,1,5.7142856531e-03,5.0000000745e-02,5.0000000745e-02,5.7142856531e-03
1.0000000000e+17,-1.4547044188e+01,5.8088811626e+01,-3.3225646307e+04,8.9895122830e+17,1.0000000000e+17,1.3836996729e-01,8.9895122830e+17,7.9895122830e+17,7.9895122830e+17,1.4169997992e+03,7.7904506042e+17,4.3982585684e-02,1.6741431619e-04,4.6808003271e-01,0.0000000000e+00,0.0000000000e+00,-1.4532814831e+20,4.7049997786e+02,4.3719596826e+14,-4.7139601189e-01,5.1554601189e-01,-4.2393003271e-01,0.0000000000e+00,0.0000000000e+00,-9.8623003271e-01,2.3290517544e-01,-8.4025422368e-01,-3.0897984510e+02,0.0000000000e+00,0.0000000000e+00,-4.4357969066e-02,-4.4357969066e-02,1.5006242469e+01,3.9466279910e+02,-1.3993567837e+03,9.9367245377e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.1661625844e+00,-1.1661625844e+00,1.9531670982e+02,1.1399535905e+02,1.1399535905e+02,6.0147036997e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0026902892e+02,2.0026902892e+02,-3.3542396516e+04,-2.5577413906e-12,-2.5577413906e-12,-1.3495335892e-08,1,8.5714282468e-03,5.0000000745e-02,5.0000000745e-02,8.5714282468e-03
1.0000000000e+17,-1.8806316660e+01,6.7134777158e+01,-3.3182637468e+04,8.9524266760e+17,1.0000000000e+17,1.3865387373e-01,8.9524266760e+17,7.9524266760e+17,7.9524266760e+17,1.4169997992e+03,7.6870111034e+17,4.3926780906e-02,2.2321909438e-04,4.6779612627e-01,0.0000000000e+00,0.0000000000e+00,-1.9377087022e+20,4.7049997786e+02,5.8292797514e+14,-6.4324470119e-01,6.8739470119e-01,-4.2364612627e-01,0.0000000000e+00,0.0000000000e+00,-9.8594612627e-01,3.1054025294e-01,-1.1203390161e+00,-4.1197313854e+02,0.0000000000e+00,0.0000000000e+00,-4.4357969066e-02,-4.4357969066e-02,1.5006242469e+01,3.9466279910e+02,-1.3993567837e+03,9.9367245377e+02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.1661625844e+00,-1.1661625844e+00,1.9531670982e+02,1.1399535905e+02,1.1399535905e+02,6.0147036997e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0026902892e+02,2.0026902892e+02,-3.3542396516e+04,-2.5577413906e-12,-2.5577413906e-12,-1.3495335892e-08,1,1.1428571306e-02,5.0000000745e-02,5.0000000745e-02,1.1428571306e-02
1.0000000000e+17,-2.5409234898e+01,7.2302912398e+01,-3.3156919043e+04,8.8714340946e+17,1.0000000000e+17,1.3896815379e-01,8.8714340946e+17,7.8714340946e+17,7.8714340946e+17,1.4169997992e+03,7.5781869991e+17,4.3868998296e-02,2.8100170404e-04,4.6748184621e-01,0.0000000000e+00,0.0000000000e+00,-2.4411355773e+20,4.7049997786e+02,7.3500642271e+14,-7.1016671460e-01,7.5431671460e-01,-4.2333184621e-01,0.0000000000e+00,0.0000000000e+00,-9.8563184621e-01,5.4607040312e-01,-1.3540885546e+00,-5.2763997140e+02,2.0639671876e+02,1.3881147850e+04,4.2303859419e-02,-3.0801130539e-02,9.9716312478e-01,3.5991125849e+02,-1.3647871570e+03,1.1637647405e+03,-6.0080733102e+02,-1.7554314528e+03,2.9245826507e+05,-4.2399952789e-01,-1.2388365934e+00,2.0639256533e+02,-2.9062860565e+01,5.4266287034e+01,1.3881011352e+04,-1.3674075896e+04,2.5532288050e+04,6.5310158411e+06,6.8526650004e+01,2.0022032116e+02,-3.3357091594e+04,1.9531244212e+00,-3.6468815660e+00,-9.3285181618e+02,1,1.4285714366e-02,5.0000000745e-02,5.0000000745e-02,1.4285714366e-02
1.0000000000e+17,-3.3418331449e+01,7.5144356209e+01,-3.3141574887e+04,8.7640973673e+17,1.0000000000e+17,1.3930065792e-01,8.7640973673e+17,7.7640973673e+17,7.7640973673e+17,1.4169997992e+03,7.4661321713e+17,4.3810029007e-02,3.3997099337e-04,4.6714934208e-01,0.0000000000e+00,0.0000000000e+00,-2.9559620905e+20,4.7049997786e+02,8.9089268780e+14,-7.1413271683e-01,7.5828271683e-01,-4.2299934208e-01,0.0000000000e+00,0.0000000000e+00,-9.8529934208e-01,8.7633732284e-01,-1.5600370787e+00,-6.5091088363e+02,2.0639671876e+02,1.3881147850e+04,4.2303859419e-02,-3.0801130539e-02,9.9716312478e-01,3.5991125849e+02,-1.3647871570e+03,1.1637647405e+03,-6.0080733102e+02,-1.7554314528e+03,2.9245826507e+05,-4.2399952789e-01,-1.2388365934e+00,2.0639256533e+02,-2.9062860565e+01,5.4266287034e+01,1.3881011352e+04,-1.3674075896e+04,2.5532288050e+04,6.5310158411e+06,6.8526650004e+01,2.0022032116e+02,-3.3357091594e+04,1.9531244212e+00,-3.6468815660e+00,-9.3285181618e+02,1,1.7142856494e-02,5.0000000745e-02,5.0000000745e-02,1.7142856494e-02
1.0000000000e+17,-4.1427436464e+01,7.7985808408e+01,-3.3126230642e+04,8.6567605302e+17,1.0000000000e+17,1.3963316231e-01,8.6567605302e+17,7.6567605302e+17,7.6567605302e+17,1.4169997992e+03,7.3540772649e+17,4.3751059698e-02,3.9894030215e-04,4.6681683769e-01,0.0000000000e+00,0.0000000000e+00,-3.4707888009e+20,4.7049997786e+02,1.0467790127e+15,-7.1809872034e-01,7.6224872034e-01,-4.2266683769e-01,0.0000000000e+00,0.0000000000e+00,-9.8496683769e-01,1.2066044202e+00,-1.7659859029e+00,-7.7418183896e+02,2.0639536612e+02,1.3881423332e+04,-1.0081594532e-01,7.9341122569e-02,8.1842727198e-01,1.4178681818e+03,-3.0683023362e+02,1.1637647405e+03,1.4869290659e+03,3.3230494409e+02,2.9245826507e+05,1.0493500818e+00,2.3451301629e-01,2.0639256533e+02,-1.0477438616e+02,-2.1445238558e+01,1.3881011352e+04,-4.9296348686e+04,-1.0089984742e+04,6.5310158411e+06,-1.7242167534e+02,-3.8533495981e+01,-3.3912945269e+04,6.0204216182e+00,1.2322608851e+00,-7.9761422511e+02,1,1.9999999553e-02,5.0000000745e-02,5.0000000745e-02,1.9999999553e-02
1.0000000000e+17,-4.9436535626e+01,8.0827253146e+01,-3.3110886481e+04,8.5494237678e+17,1.0000000000e+17,1.3996566654e-01,8.5494237678e+17,7.5494237678e+17,7.5494237678e+17,1.4169997992e+03,7.2420224006e+17,4.3692090389e-02,4.5790961070e-04,4.6648433346e-01,0.0000000000e+00,0.0000000000e+00,-3.9856154819e+20,4.7049997786e+02,1.2026653286e+15,-7.2206472387e-01,7.6621472387e-01,-4.2233433346e-01,0.0000000000e+00,0.0000000000e+00,-9.8463433346e-01,1.5368714476e+00,-1.9719344941e+00,-8.9745279137e+02,2.0639536612e+02,1.3881423332e+04,-1.0081594532e-01,7.9341122569e-02,8.1842727198e-01,1.4178681818e+03,-3.0683023362e+02,1.1637647405e+03,1.4869290659e+03,3.3230494409e+02,2.9245826507e+05,1.0493500818e+00,2.3451301629e-01,2.0639256533e+02,-1.0477438616e+02,-2.1445238558e+01,1.3881011352e+04,-4.9296348686e+04,-1.0089984742e+04,6.5310158411e+06,-1.7242167534e+02,-3.8533495981e+01,-3.3912945269e+04,6.0204216182e+00,1.2322608851e+00,-7.9761422511e+02,1,2.2857142612e-02,5.0000000745e-02,5.0000000745e-02,2.2857142612e-02
1.0000000000e+17,-5.5382636442e+01,8.3497927928e+01,-3.3087197595e+04,8.4272936421e+17,1.0000000000e+17,1.4035632955e-01,8.4272936421e+17,7.4272936421e+17,7.4272936421e+17,1.4169997992e+03,7.1166702486e+17,4.3631852700e-02,5.1814730044e-04,4.6609367045e-01,0.0000000000e+00,0.0000000000e+00,-4.5200448938e+20,4.7049997786e+02,1.3649196408e+15,-7.2559349509e-01,7.6974349509e-01,-4.2194367045e-01,0.0000000000e+00,0.0000000000e+00,-9.8424367045e-01,1.7831411123e+00,-2.1442848782e+00,-9.9213502320e+02,2.2415193716e+02,7.7598772342e+03,-3.6151224591e-02,-3.0977716276e-02,7.4124448301e-01,1.3719948650e+03,-3.5176934984e+02,1.9779876716e+03,1.3259218098e+03,-2.6908526827e+02,3.1762041342e+05,9.3572463644e-01,-1.8989786046e-01,2.2414990361e+02,-4.1808639371e+01,9.5943609097e+00,7.7597586738e+03,-1.9670964824e+04,4.5141468080e+03,3.6509664560e+06,-1.4249897104e+02,2.8919030946e+01,-3.4135181847e+04,4.7735207833e+00,-1.0954406050e+00,-8.8597404412e+02,1,2.5714285672e-02,5.0000000745e-02,5.0000000745e-02,2.5714285672e-02
1.0000000000e+17,-5.5139753602e+01,8.5656278282e+01,-3.3038474526e+04,8.2607834105e+17,1.0000000000e+17,1.4092146892e-01,8.2607834105e+17,7.2607834105e+17,7.2607834105e+17,1.4169997992e+03,6.9514262134e+17,4.3567809865e-02,5.8219013458e-04,4.6552853108e-01,0.0000000000e+00,0.0000000000e+00,-5.1132824827e+20,4.7049997786e+02,1.5462779371e+15,-7.2781056916e-01,7.7196056916e-01,-4.2137853108e-01,0.0000000000e+00,0.0000000000e+00,-9.8367853108e-01,1.7774188235e+00,-2.2158399678e+00,-1.0010510863e+03,2.2415193716e+02,7.7598772342e+03,-3.6151224591e-02,-3.0977716276e-02,7.4124448301e-01,1.3719948650e+03,-3.5176934984e+02,1.9779876716e+03,1.3259218098e+03,-2.6908526827e+02,3.1762041342e+05,9.3572463644e-01,-1.8989786046e-01,2.2414990361e+02,-4.1808639371e+01,9.5943609097e+00,7.7597586738e+03,-1.9670964824e+04,4.5141468080e+03,3.6509664560e+06,-1.4249897104e+02,2.8919030946e+01,-3.4135181847e+04,4.7735207833e+00,-1.0954406050e+00,-8.8597404412e+02,1,2.8571428731e-02,5.0000000745e-02,5.0000000745e-02,2.8571428731e-02
1.0000000000e+17,-5.4896859307e+01,8.7814622385e+01,-3.2989751528e+04,8.0942732504e+17,1.0000000000e+17,1.4148660815e-01,8.0942732504e+17,7.0942732504e+17,7.0942732504e+17,1.4169997992e+03,6.7861822161e+17,4.3503767031e-02,6.4623296878e-04,4.6496339185e-01,0.0000000000e+00,0.0000000000e+00,-5.7065200395e+20,4.7049997786e+02,1.7276362236e+15,-7.3002764322e-01,7.7417764322e-01,-4.2081339185e-01,0.0000000000e+00,0.0000000000e+00,-9.8311339185e-01,1.7716962071e+00,-2.2873948140e+00,-1.0099671470e+03,2.2415290481e+02,7.7598260438e+03,9.3460988562e-03,-7.0744274333e-02,9.4360340318e-01,-1.3307315798e+03,3.9219017805e+02,1.9779876716e+03,7.7643093437e+02,1.4486760025e+03,3.1762041342e+05,5.4793996780e-01,1.0223542713e+00,2.2414990361e+02,-1.3746965781e+01,-2.9267317793e+01,7.7597586738e+03,-6.4679473998e+03,-1.3770273022e+04,3.6509664560e+06,-7.9008277207e+01,-1.4741477976e+02,-3.2320507284e+04,1.9640140652e+00,4.1813898947e+00,-1.1086282909e+03,1,3.1428571790e-02,5.0000000745e-02,5.0000000745e-02,3.1428571790e-02
1.0000000000e+17,-5.4653976626e+01,8.9972971331e+01,-3.2941028491e+04,7.9277631273e+17,1.0000000000e+17,1.4205174716e-01,7.9277631273e+17,6.9277631273e+17,6.9277631273e+17,1.4169997992e+03,6.6209382887e+17,4.3439724239e-02,7.1027576116e-04,4.6439825284e-01,0.0000000000e+00,0.0000000000e+00,-6.2997572417e+20,4.7049997786e+02,1.9089944018e+15,-7.3224471584e-01,7.7639471584e-01,-4.2024825284e-01,0.0000000000e+00,0.0000000000e+00,-9.8254825284e-01,1.7659739219e+00,-2.3589498569e+00,-1.0188832043e+03,2.2415290481e+02,7.7598260438e+03,9.3460988562e-03,-7.0744274333e-02,9.4360340318e-01,-1.3307315798e+03,3.9219017805e+02,1.9779876716e+03,7.7643093437e+02,1.4486760025e+03,3.1762041342e+05,5.4793996780e-01,1.0223542713e+00,2.2414990361e+02,-1.3746965781e+01,-2.9267317793e+01,7.7597586738e+03,-6.4679473998e+03,-1.3770273022e+04,3.6509664560e+06,-7.9008277207e+01,-1.4741477976e+02,-3.2320507284e+04,1.9640140652e+00,4.1813898947e+00,-1.1086282909e+03,1,3.4285712987e-02,5.0000000745e-02,5.0000000745e-02,3.4285712987e-02
1.0000000000e+17,-5.4411093629e+01,9.2131323091e+01,-3.2892305390e+04,7.7612527871e+17,1.0000000000e+17,1.4261688690e-01,7.7612527871e+17,6.7612527871e+17,6.7612527871e+17,1.4169997992e+03,6.4556941458e+17,4.3375681363e-02,7.7431863705e-04,4.6383311310e-01,0.0000000000e+00,0.0000000000e+00,-6.8929952174e+20,4.7049997786e+02,2.0903528164e+15,-7.3446179135e-01,7.7861179135e-01,-4.1968311310e-01,0.0000000000e+00,0.0000000000e+00,-9.8198311310e-01,1.7602516293e+00,-2.4305049931e+00,-1.0277992732e+03,2.2415290481e+02,7.7598260438e+03,9.3460988562e-03,-7.0744274333e-02,9.4360340318e-01,-1.3307315798e+03,3.9219017805e+02,1.9779876716e+03,7.7643093437e+02,1.4486760025e+03,3.1762041342e+05,5.4793996780e-01,1.0223542713e+00,2.2414990361e+02,-1.3746965781e+01,-2.9267317793e+01,7.7597586738e+03,-6.4679473998e+03,-1.3770273022e+04,3.6509664560e+06,-7.9008277207e+01,-1.4741477976e+02,-3.2320507284e+04,1.9640140652e+00,4.1813898947e+00,-1.1086282909e+03,1,3.7142857909e-02,5.0000000745e-02,5.0000000745e-02,3.7142857909e-02
1.0000000000e+17,-5.1548340105e+01,9.0439798292e+01,-3.2948613260e+04,7.5646138820e+17,1.0000000000e+17,1.4335081380e-01,7.5646138820e+17,6.5646138820e+17,6.5646138820e+17,1.4169997992e+03,6.2608482032e+17,4.3306313113e-02,8.4368688693e-04,4.6309918620e-01,0.0000000000e+00,0.0000000000e+00,-7.5681379849e+20,4.7049997786e+02,2.2987214435e+15,-7.3612959254e-01,7.8027959254e-01,-4.1894918620e-01,0.0000000000e+00,0.0000000000e+00,-9.8124918620e-01,1.6222153442e+00,-2.4363845764e+00,-1.0260887403e+03,2.4545287642e+02,5.5626983159e+03,7.3522349405e-03,-3.2302953260e-02,7.4183581850e-01,-1.3386654509e+03,4.0112544522e+02,2.6531394727e+03,7.0954405595e+02,7.8444439217e+02,3.4780511751e+05,5.0073680731e-01,5.5359519560e-01,2.4545174136e+02,-1.0313441489e+01,-1.3574108893e+01,5.5626721933e+03,-4.8524742204e+03,-6.3866182340e+03,2.6172372669e+06,-6.6745955550e+01,-7.3791740050e+01,-3.2717608890e+04,1.9661085507e+00,2.5877076620e+00,-1.0604430515e+03,1,3.9999999106e-02,5.0000000745e-02,5.0000000745e-02,3.9999999106e-02
1.0000000000e+17,-4.8311321148e+01,8.8198296859e+01,-3.3019925524e+04,7.3636705467e+17,1.0000000000e+17,1.4410885434e-01,7.3636705467e+17,6.3636705467e+17,6.3636705467e+17,1.4169997992e+03,6.0617731163e+17,4.3236183994e-02,9.1381600649e-04,4.6234114566e-01,0.0000000000e+00,0.0000000000e+00,-8.2549824695e+20,4.7049997786e+02,2.5109489909e+15,-7.3771892860e-01,7.8186892860e-01,-4.1819114566e-01,0.0000000000e+00,0.0000000000e+00,-9.8049114566e-01,1.4652771155e+00,-2.4328822119e+00,-1.0228601251e+03,2.4545497854e+02,5.5627652023e+03,-1.6528457494e-02,-7.1212063943e-02,6.6913806727e-01,1.3756432747e+03,-3.6966892119e+02,2.6531394727e+03,1.2343716788e+03,-1.2911896998e+03,3.4780511751e+05,8.7111621654e-01,-9.1121362015e-01,2.4545174136e+02,-2.1163073242e+01,2.4225813769e+01,5.5626721933e+03,-9.9572259602e+03,1.1398245378e+04,2.6172372669e+06,-1.2034450787e+02,1.2588395510e+02,-3.3909102437e+04,3.6660900437e+00,-4.1966501579e+00,-9.6362456017e+02,1,4.2857144028e-02,5.0000000745e-02,5.0000000745e-02,4.2857144028e-02
